id	name	class
!!a	a	MagicKnight	No
aa	aa	MagicKnight	No
aaa	aaa	MagicKnight	No
addcard	AddCard	MagicKnight	No
bless	Bless	MagicKnight	No
block	Block	MagicKnight	No
buffer	Buffer	MagicKnight	No
courage	Courage	MagicKnight	No
energize	Energize	MagicKnight	No
evasion	Evasion	MagicKnight	No
fast	Fast	MagicKnight	No
fortify	Fortify	MagicKnight	No
furnace	Furnace	MagicKnight	No
fury	Fury	MagicKnight	No
haste	Haste	MagicKnight	No
inspire	Inspire	MagicKnight	No
insulate	Insulate	MagicKnight	No
invulnerable	Invulnerable	MagicKnight	No
megathorns	MegaThorns	MagicKnight	No
mitigate	Mitigate	MagicKnight	No
powerful	Powerful	MagicKnight	No
regeneration	Regeneration	MagicKnight	No
reinforce	Reinforce	MagicKnight	No
scourge	Scourge	MagicKnight	No
sharp	Sharp	MagicKnight	No
shield	Shield	MagicKnight	No
spellsword	Spellsword	MagicKnight	No
stanza	Stanza	MagicKnight	No
stealth	Stealth	MagicKnight	No
taunt	Taunt	MagicKnight	No
thorns	Thorns	MagicKnight	No
thornsxl	Thorns	MagicKnight	No
vitality	Vitality	MagicKnight	No
zeal	Zeal	MagicKnight	No
badkid	Bad Kid	Special	No
christmastree	Christmas Tree	Monster	No
christmastreea	Christmas Tree	Monster	A
christmastreeb	Christmas Tree	Monster	B
futureghost	Future Ghost	Monster	No
goodkid	Good Kid	Special	No
holynight	Holy Night	Monster	No
holynighta	Holy Night	Monster	A
holynightb	Holy Night	Monster	B
pastghost	Past Ghost	Monster	No
presentghost	Present Ghost	Monster	No
stealcorruption	Steal	Monster	No
thegrinch	The Yogrinch	Monster	No
thegrincha	The Yogrinch	Monster	A
thegrinchb	The Yogrinch	Monster	B
threeghost	Three Ghost	Monster	No
threeghosta	Three Ghost	Monster	A
threeghostb	Three Ghost	Monster	B
bleed	Bleed	MagicKnight	No
burn	Burn	MagicKnight	No
chill	Chill	MagicKnight	No
crack	Crack	MagicKnight	No
dark	Dark	MagicKnight	No
daze	Daze	MagicKnight	No
decay	Decay	MagicKnight	No
disarm	Disarm	MagicKnight	No
doom	Doom	MagicKnight	No
exhaust	Exhaust	MagicKnight	No
fatigue	Fatigue	MagicKnight	No
insane	Insane	MagicKnight	No
mark	Mark	MagicKnight	No
paralyze	Paralyze	MagicKnight	No
poison	Poison	MagicKnight	No
